date,stock,headline,sentiment_label
2024-08-27,M&M.NS,Company misses earnings estimates,negative
2025-02-11,BAJFINANCE.NS,Company misses earnings estimates,negative
2024-11-29,DIVISLAB.NS,Launches new sustainability initiative,neutral
2024-08-30,NESTLEIND.NS,Analysts upgrade stock outlook,positive
2024-09-27,WIPRO.NS,Analysts upgrade stock outlook,positive
2024-10-17,INFY.NS,Analysts downgrade rating,negative
2025-01-15,HINDALCO.NS,Company misses earnings estimates,negative
2024-05-29,IOC.NS,Announces board restructuring,neutral
2024-09-08,BAJFINANCE.NS,Secures large government contract,positive
2024-05-26,HEROMOTOCO.NS,Company holds annual general meeting,neutral
2025-05-27,HEROMOTOCO.NS,Analysts upgrade stock outlook,positive
2024-11-30,HDFCBANK.NS,Company misses earnings estimates,negative
2024-10-29,TATAMOTORS.NS,Reports decline in quarterly revenue,negative
2024-02-27,BAJAJFINSV.NS,Launches new sustainability initiative,neutral
2024-06-07,HINDALCO.NS,Announces board restructuring,neutral
2024-06-04,BAJAJ-AUTO.NS,Company reports record earnings,positive
2025-06-22,DRREDDY.NS,Launches new sustainability initiative,neutral
2025-03-13,SBILIFE.NS,Company holds annual general meeting,neutral
2025-01-24,NTPC.NS,Faces regulatory scrutiny,negative
2024-04-17,GRASIM.NS,Announces board restructuring,neutral
2025-07-20,DIVISLAB.NS,Faces regulatory scrutiny,negative
2024-01-07,SBIN.NS,Faces regulatory scrutiny,negative
2024-07-07,EICHERMOT.NS,Announces board restructuring,neutral
2024-10-04,NTPC.NS,Company reports record earnings,positive
2024-07-21,BAJAJFINSV.NS,Stock shows minimal change,neutral
2024-11-06,TITAN.NS,Stock shows minimal change,neutral
2025-01-20,TATAMOTORS.NS,Secures large government contract,positive
2024-05-12,SBIN.NS,Secures large government contract,positive
2025-02-26,KOTAKBANK.NS,Stock shows minimal change,neutral
2025-01-12,HEROMOTOCO.NS,Company misses earnings estimates,negative
2024-04-05,APOLLOHOSP.NS,Company reports record earnings,positive
2024-12-29,TITAN.NS,Announces board restructuring,neutral
2025-05-30,TECHM.NS,Announces major expansion plans,positive
2025-05-24,ADANIPORTS.NS,Releases quarterly earnings report,neutral
2025-02-24,BAJAJ-AUTO.NS,Faces regulatory scrutiny,negative
2025-06-27,SBILIFE.NS,Announces board restructuring,neutral
2024-01-30,WIPRO.NS,Reports decline in quarterly revenue,negative
2024-09-14,KOTAKBANK.NS,Analysts downgrade rating,negative
2025-03-10,RELIANCE.NS,Analysts downgrade rating,negative
2024-05-26,BAJFINANCE.NS,Strong quarterly performance drives stock up,positive
2025-06-16,ITC.NS,Announces board restructuring,neutral
2024-03-08,BHARTIARTL.NS,Company reports record earnings,positive
2024-06-03,ULTRACEMCO.NS,Announces major expansion plans,positive
2024-01-02,IOC.NS,Strong quarterly performance drives stock up,positive
2025-05-04,HDFCLIFE.NS,Announces major expansion plans,positive
2024-01-15,CIPLA.NS,Company holds annual general meeting,neutral
2024-08-21,ADANIENT.NS,Stock shows minimal change,neutral
2024-05-24,WIPRO.NS,Company misses earnings estimates,negative
2024-12-31,COALINDIA.NS,Announces major expansion plans,positive
2024-06-21,HEROMOTOCO.NS,Releases quarterly earnings report,neutral
2025-01-09,ASIANPAINT.NS,Strong quarterly performance drives stock up,positive
2024-10-16,EICHERMOT.NS,Launches new sustainability initiative,neutral
2025-07-29,HINDUNILVR.NS,Releases quarterly earnings report,neutral
2025-05-22,NESTLEIND.NS,Company holds annual general meeting,neutral
2025-02-19,AXISBANK.NS,Stock shows minimal change,neutral
2024-05-02,RELIANCE.NS,Launches new sustainability initiative,neutral
2024-08-18,INFY.NS,Company reports record earnings,positive
2025-07-21,HCLTECH.NS,Announces board restructuring,neutral
2024-10-02,HDFCLIFE.NS,Faces regulatory scrutiny,negative
2025-01-12,HINDALCO.NS,Company reports record earnings,positive
2025-08-04,NTPC.NS,Market reacts negatively to forecast,negative
2024-02-12,EICHERMOT.NS,Secures large government contract,positive
2025-08-18,APOLLOHOSP.NS,Secures large government contract,positive
2025-06-24,BPCL.NS,Announces board restructuring,neutral
2024-03-27,HDFCBANK.NS,Reports decline in quarterly revenue,negative
2024-08-22,RELIANCE.NS,Analysts downgrade rating,negative
2024-04-04,M&M.NS,Launches new sustainability initiative,neutral
2024-09-23,APOLLOHOSP.NS,Faces regulatory scrutiny,negative
2025-04-15,M&M.NS,Reports decline in quarterly revenue,negative
2024-02-14,NESTLEIND.NS,Analysts downgrade rating,negative
2024-03-15,AXISBANK.NS,Strong quarterly performance drives stock up,positive
2025-04-07,BRITANNIA.NS,Stock shows minimal change,neutral
2025-05-06,BHARTIARTL.NS,Reports decline in quarterly revenue,negative
2024-04-29,BAJFINANCE.NS,Releases quarterly earnings report,neutral
2024-06-02,RELIANCE.NS,Analysts downgrade rating,negative
2024-07-29,HCLTECH.NS,Reports decline in quarterly revenue,negative
2024-10-26,ONGC.NS,Stock shows minimal change,neutral
2024-08-14,COALINDIA.NS,Announces board restructuring,neutral
2024-01-25,SHREECEM.NS,Company holds annual general meeting,neutral
2025-01-01,BHARTIARTL.NS,Announces board restructuring,neutral
2024-02-26,AXISBANK.NS,Secures large government contract,positive
2025-03-28,ULTRACEMCO.NS,Stock shows minimal change,neutral
2024-11-13,UPL.NS,Announces major expansion plans,positive
2025-05-15,BAJFINANCE.NS,Analysts upgrade stock outlook,positive
2024-12-13,MARUTI.NS,Reports decline in quarterly revenue,negative
2024-12-06,HCLTECH.NS,Company misses earnings estimates,negative
2024-07-02,TITAN.NS,Announces major expansion plans,positive
2025-07-05,LT.NS,Releases quarterly earnings report,neutral
2024-05-22,TCS.NS,Strong quarterly performance drives stock up,positive
2024-01-08,APOLLOHOSP.NS,Company reports record earnings,positive
2025-01-06,ADANIENT.NS,Company misses earnings estimates,negative
2025-04-22,HINDUNILVR.NS,Company reports record earnings,positive
2025-03-04,KOTAKBANK.NS,Analysts upgrade stock outlook,positive
2024-05-18,APOLLOHOSP.NS,Company reports record earnings,positive
2025-01-18,BPCL.NS,Company holds annual general meeting,neutral
2024-04-26,JSWSTEEL.NS,Company misses earnings estimates,negative
2024-10-22,BAJAJ-AUTO.NS,Stock shows minimal change,neutral
2024-08-14,RELIANCE.NS,Announces major expansion plans,positive
2024-03-09,SHREECEM.NS,Releases quarterly earnings report,neutral
2024-07-21,SUNPHARMA.NS,Company holds annual general meeting,neutral
2024-06-26,ULTRACEMCO.NS,Announces major expansion plans,positive
2025-06-08,NTPC.NS,Announces major expansion plans,positive
2025-06-02,HDFCBANK.NS,Faces regulatory scrutiny,negative
2024-02-04,BAJFINANCE.NS,Analysts downgrade rating,negative
2024-11-20,SHREECEM.NS,Strong quarterly performance drives stock up,positive
2025-03-03,LT.NS,Faces regulatory scrutiny,negative
2024-05-09,BPCL.NS,Reports decline in quarterly revenue,negative
2024-07-13,INDUSINDBK.NS,Analysts downgrade rating,negative
2024-03-02,TATAMOTORS.NS,Announces board restructuring,neutral
2024-11-15,EICHERMOT.NS,Strong quarterly performance drives stock up,positive
2024-01-05,BAJAJ-AUTO.NS,Company holds annual general meeting,neutral
2025-06-22,SUNPHARMA.NS,Market reacts negatively to forecast,negative
2025-04-25,BAJFINANCE.NS,Market reacts negatively to forecast,negative
2024-10-16,M&M.NS,Strong quarterly performance drives stock up,positive
2025-05-13,COALINDIA.NS,Company reports record earnings,positive
2025-04-13,TATAMOTORS.NS,Market reacts negatively to forecast,negative
2025-04-02,HDFCLIFE.NS,Reports decline in quarterly revenue,negative
2025-01-07,SBILIFE.NS,Announces major expansion plans,positive
2024-12-11,ULTRACEMCO.NS,Announces board restructuring,neutral
2024-11-24,HEROMOTOCO.NS,Company reports record earnings,positive
2025-07-06,MARUTI.NS,Stock shows minimal change,neutral
2025-02-06,ADANIPORTS.NS,Releases quarterly earnings report,neutral
2024-09-26,HDFCLIFE.NS,Faces regulatory scrutiny,negative
2024-11-26,LT.NS,Secures large government contract,positive
2024-06-13,AXISBANK.NS,Strong quarterly performance drives stock up,positive
2024-09-15,INFY.NS,Company misses earnings estimates,negative
2025-02-17,SHREECEM.NS,Analysts upgrade stock outlook,positive
2024-12-23,ASIANPAINT.NS,Strong quarterly performance drives stock up,positive
2025-01-16,COALINDIA.NS,Company reports record earnings,positive
2025-06-17,TCS.NS,Reports decline in quarterly revenue,negative
2024-09-09,SHREECEM.NS,Market reacts negatively to forecast,negative
2024-11-07,MARUTI.NS,Analysts upgrade stock outlook,positive
2025-04-17,SUNPHARMA.NS,Releases quarterly earnings report,neutral
2025-01-26,TATAMOTORS.NS,Analysts upgrade stock outlook,positive
2024-03-17,SHREECEM.NS,Faces regulatory scrutiny,negative
2024-03-22,COALINDIA.NS,Faces regulatory scrutiny,negative
2024-01-08,TATASTEEL.NS,Company misses earnings estimates,negative
2024-01-29,EICHERMOT.NS,Analysts upgrade stock outlook,positive
2024-11-12,HEROMOTOCO.NS,Stock shows minimal change,neutral
2025-04-19,ADANIPORTS.NS,Faces regulatory scrutiny,negative
2025-04-01,SBIN.NS,Company holds annual general meeting,neutral
2025-05-28,TCS.NS,Company misses earnings estimates,negative
2025-07-10,BPCL.NS,Company reports record earnings,positive
2025-05-24,HDFCLIFE.NS,Analysts upgrade stock outlook,positive
2025-06-10,ONGC.NS,Market reacts negatively to forecast,negative
2025-05-18,INDUSINDBK.NS,Releases quarterly earnings report,neutral
2024-08-24,TCS.NS,Analysts upgrade stock outlook,positive
2024-01-21,NTPC.NS,Announces major expansion plans,positive
2025-02-25,CIPLA.NS,Company holds annual general meeting,neutral
2024-08-30,ONGC.NS,Company reports record earnings,positive
2025-01-05,MARUTI.NS,Company misses earnings estimates,negative
2024-05-24,DIVISLAB.NS,Announces major expansion plans,positive
2025-07-21,HDFCLIFE.NS,Market reacts negatively to forecast,negative
2025-04-30,DRREDDY.NS,Company reports record earnings,positive
2025-07-29,NESTLEIND.NS,Announces major expansion plans,positive
2024-10-10,WIPRO.NS,Announces board restructuring,neutral
2024-11-26,ADANIENT.NS,Stock shows minimal change,neutral
2024-04-27,ADANIENT.NS,Secures large government contract,positive
2024-04-23,APOLLOHOSP.NS,Company holds annual general meeting,neutral
2024-11-25,BAJFINANCE.NS,Announces major expansion plans,positive
2024-10-20,NESTLEIND.NS,Faces regulatory scrutiny,negative
2025-04-24,KOTAKBANK.NS,Announces board restructuring,neutral
2024-11-17,HCLTECH.NS,Company misses earnings estimates,negative
2025-06-03,POWERGRID.NS,Reports decline in quarterly revenue,negative
2024-08-14,M&M.NS,Releases quarterly earnings report,neutral
2025-04-11,AXISBANK.NS,Releases quarterly earnings report,neutral
2025-01-03,ASIANPAINT.NS,Company reports record earnings,positive
2024-06-27,TCS.NS,Releases quarterly earnings report,neutral
2024-09-16,BAJAJ-AUTO.NS,Company reports record earnings,positive
2024-08-15,CIPLA.NS,Strong quarterly performance drives stock up,positive
2025-01-01,APOLLOHOSP.NS,Announces major expansion plans,positive
2024-03-09,JSWSTEEL.NS,Company reports record earnings,positive
2024-02-18,DRREDDY.NS,Analysts downgrade rating,negative
2024-02-26,HINDALCO.NS,Company holds annual general meeting,neutral
2025-06-06,BAJAJFINSV.NS,Releases quarterly earnings report,neutral
2024-06-23,EICHERMOT.NS,Launches new sustainability initiative,neutral
2024-06-26,APOLLOHOSP.NS,Announces major expansion plans,positive
2025-07-19,SBIN.NS,Company holds annual general meeting,neutral
2024-12-10,NTPC.NS,Secures large government contract,positive
2024-12-16,EICHERMOT.NS,Announces major expansion plans,positive
2024-10-13,KOTAKBANK.NS,Releases quarterly earnings report,neutral
2025-02-04,ASIANPAINT.NS,Faces regulatory scrutiny,negative
2024-07-25,TECHM.NS,Reports decline in quarterly revenue,negative
2024-06-08,KOTAKBANK.NS,Releases quarterly earnings report,neutral
2024-10-31,HINDALCO.NS,Strong quarterly performance drives stock up,positive
2024-02-03,MARUTI.NS,Strong quarterly performance drives stock up,positive
2024-12-12,ONGC.NS,Launches new sustainability initiative,neutral
2024-12-20,EICHERMOT.NS,Releases quarterly earnings report,neutral
2024-12-27,HEROMOTOCO.NS,Company misses earnings estimates,negative
2025-08-14,TECHM.NS,Launches new sustainability initiative,neutral
2024-01-14,SBILIFE.NS,Secures large government contract,positive
2024-05-23,DIVISLAB.NS,Stock shows minimal change,neutral
2024-08-18,IOC.NS,Faces regulatory scrutiny,negative
2025-06-14,TECHM.NS,Analysts downgrade rating,negative
2024-10-05,DIVISLAB.NS,Announces major expansion plans,positive
2025-02-10,ONGC.NS,Company holds annual general meeting,neutral
2024-06-19,TITAN.NS,Launches new sustainability initiative,neutral
2025-02-01,APOLLOHOSP.NS,Announces major expansion plans,positive
2024-07-14,POWERGRID.NS,Releases quarterly earnings report,neutral
2025-02-19,COALINDIA.NS,Analysts downgrade rating,negative
2024-07-16,ADANIENT.NS,Company reports record earnings,positive
2024-07-15,TATASTEEL.NS,Company reports record earnings,positive
2025-06-24,DRREDDY.NS,Launches new sustainability initiative,neutral
2024-03-12,CIPLA.NS,Faces regulatory scrutiny,negative
2024-09-16,AXISBANK.NS,Company misses earnings estimates,negative
2025-05-02,SHREECEM.NS,Analysts upgrade stock outlook,positive
2024-12-21,EICHERMOT.NS,Reports decline in quarterly revenue,negative
2024-09-01,ADANIENT.NS,Releases quarterly earnings report,neutral
2024-05-03,ITC.NS,Analysts downgrade rating,negative
2024-07-12,ASIANPAINT.NS,Analysts upgrade stock outlook,positive
2024-12-30,ITC.NS,Stock shows minimal change,neutral
2024-12-14,CIPLA.NS,Secures large government contract,positive
2025-08-12,APOLLOHOSP.NS,Stock shows minimal change,neutral
2024-02-16,HDFCLIFE.NS,Announces board restructuring,neutral
2024-03-20,NESTLEIND.NS,Releases quarterly earnings report,neutral
2024-03-31,HDFCBANK.NS,Company reports record earnings,positive
2024-10-14,NTPC.NS,Company misses earnings estimates,negative
2025-04-22,GRASIM.NS,Analysts downgrade rating,negative
2024-12-04,UPL.NS,Stock shows minimal change,neutral
2024-09-19,BAJFINANCE.NS,Faces regulatory scrutiny,negative
2025-03-30,IOC.NS,Faces regulatory scrutiny,negative
2024-04-10,AXISBANK.NS,Analysts downgrade rating,negative
2024-03-20,POWERGRID.NS,Launches new sustainability initiative,neutral
2025-04-11,AXISBANK.NS,Announces major expansion plans,positive
2025-03-31,COALINDIA.NS,Reports decline in quarterly revenue,negative
2024-06-17,RELIANCE.NS,Announces major expansion plans,positive
2025-01-09,INFY.NS,Analysts downgrade rating,negative
2025-01-02,BPCL.NS,Secures large government contract,positive
2024-10-09,ITC.NS,Secures large government contract,positive
2024-05-02,BHARTIARTL.NS,Releases quarterly earnings report,neutral
2024-05-16,SHREECEM.NS,Announces major expansion plans,positive
2024-07-03,HDFCBANK.NS,Analysts downgrade rating,negative
2024-04-09,SHREECEM.NS,Company holds annual general meeting,neutral
2024-01-03,AXISBANK.NS,Company misses earnings estimates,negative
2025-04-19,SUNPHARMA.NS,Company reports record earnings,positive
2025-05-05,M&M.NS,Reports decline in quarterly revenue,negative
2025-01-19,TECHM.NS,Secures large government contract,positive
2024-11-21,SHREECEM.NS,Faces regulatory scrutiny,negative
2024-03-19,DRREDDY.NS,Company reports record earnings,positive
2024-06-28,BAJAJFINSV.NS,Announces board restructuring,neutral
2024-02-26,INFY.NS,Secures large government contract,positive
2025-03-20,TECHM.NS,Company misses earnings estimates,negative
